=== SOAK START 2026-06-26 12:22:34 ===
[12:22:34] eranda-collector CPU=174.26% MEM=499.1MiB / 3.819GiB eranda-redis CPU=1.19% MEM=22.2MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=7 keys=39  || reconnect_olayı(son200satır)=0
[12:24:36] eranda-collector CPU=165.19% MEM=499MiB / 3.819GiB eranda-redis CPU=2.03% MEM=22.59MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=4 keys=39  || reconnect_olayı(son200satır)=0
[12:26:37] eranda-collector CPU=86.66% MEM=500.5MiB / 3.819GiB eranda-redis CPU=4.64% MEM=22.25MiB / 3.819GiB  || CONSUMER-1 q=1 keys=26 CONSUMER-0 q=5 keys=39  || reconnect_olayı(son200satır)=0
[12:28:40] eranda-collector CPU=212.54% MEM=501.1MiB / 3.819GiB eranda-redis CPU=2.19% MEM=22.31MiB / 3.819GiB  || CONSUMER-1 q=6 keys=26 CONSUMER-0 q=479 keys=39  || reconnect_olayı(son200satır)=0
[12:30:42] eranda-collector CPU=173.02% MEM=501.1MiB / 3.819GiB eranda-redis CPU=3.71% MEM=22.56MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=3 keys=39  || reconnect_olayı(son200satır)=0
[12:32:45] eranda-collector CPU=81.49% MEM=501.5MiB / 3.819GiB eranda-redis CPU=3.32% MEM=21.95MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[12:34:47] eranda-collector CPU=176.73% MEM=502MiB / 3.819GiB eranda-redis CPU=3.90% MEM=22.87MiB / 3.819GiB  || CONSUMER-1 q=2 keys=26 CONSUMER-0 q=2 keys=39  || reconnect_olayı(son200satır)=0
[12:36:49] eranda-collector CPU=139.99% MEM=502.8MiB / 3.819GiB eranda-redis CPU=1.27% MEM=20.94MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[12:38:52] eranda-collector CPU=6.51% MEM=502.6MiB / 3.819GiB eranda-redis CPU=3.70% MEM=22.2MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=1 keys=39  || reconnect_olayı(son200satır)=0
[12:40:54] eranda-collector CPU=137.29% MEM=503.6MiB / 3.819GiB eranda-redis CPU=5.82% MEM=22.14MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=27 keys=39  || reconnect_olayı(son200satır)=0
[12:42:56] eranda-collector CPU=103.17% MEM=503.4MiB / 3.819GiB eranda-redis CPU=2.57% MEM=22.41MiB / 3.819GiB  || CONSUMER-1 q=0 keys=26 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
